otago_2019-2021_0.3m-rgb,01GSTSBFXYRTGME76V7V9AJDX3
otago_canterbury_sn9933_2000_0.75m-2193,01H5228WZQ17ZR9MG1T28JPJW4
otago_sn12544_1998_0.75m-2193,01H5120NMCMFWFV3JYEEJ96GZQ
otago_sn3806_1975_0.375m-2193,01H512W2QZ7FXDWXZW1WGDCTMW
otago_sn5220_1978_0.75m-2193,01H513947P0DJ214TT7AXP9R8V
otago_sn5359_1979_0.375m-2193,01H513V3H92TFDTD4X3RGAPCHA
otago_sn8180_1983_0.75m-2193,01H51P754DR52VSNA9CQMJ827X
otago_sn8215_1983-1984_0.8m-2193,01H51PN8BBVKRRY36CBXHHES99
otago_sn8286_1984_0.8m-2193,01H51PZXBJ3CDXSXXTZR7QCXTC
otago_sn8436_1984_0.64m-2193,01H51S94ZXAZFPF3Y5VCW9QDWB
otago_sn8479_1985_0.375m-2193,01H51SXXFT20TP0XKW0GGAS2AB
otago_sn8733_1987_0.375m-2193,01H51WWMFQFZXBGZ9JQMM09S51
otago_sn9087_1990-1991_0.75m-2193,01H51YKWAFY80HZ8QSN2JR07CH
otago_sn9457_1995-1997_0.75m-2193,01H4FJP7Y5DVMZ3P09SWMEMQMP
otago_sn9937_2000_0.75m-2193,01H522CMF5XA3WSS8ZPKDEN915
otago_snc12780_2003_0.64m-2193,01H522NM2HHVG6CNBMJT3J9THT
otago_snc25055_2001_0.75m-2193,01H524D96B3BHYCYP060TVBKKM
otago_snc25057_2001_0.75m-2193,01H524SY3SFSTV5154TK6Y5YNN
otago_southland_west-coast_sn8426_1984-1985_0.75m-2193,01H51S3JT1956DBS3QHFRKAQ9C
queenstown-lakes_2022-2023_0.1m-rgb,01GTDJSP479AQP86B188Q9596Y
invercargill_2016_0.05m-rgb,01GY95BKYPA2KZYPTZ2PQW010S
invercargill_2016_0.1m-rgb,01GY9F9JMRKCSWNWYJ7T13MMB4
invercargill_2022_0.05m-rgb,01GHWJNKSZTMNSS4B9EVTQP28N
invercargill_2022_0.1m-rgb,01GFW60E6AJ9C95YFQ2ZJ4SVZ9
southland-central-otago_2013-2014_0.4m-rgb,01GSPEKNYR03SHAPRZ6JM9Q5QK
southland-central-otago_2015-2017_0.4m-rgb,01GSPEKP16VXQA7TMZ178NR9MN
southland_2005-2011_0.75m-rgb,01GSP57SBZ627G1AWQGP5M6YKF
southland_2023_0.1m-rgb,01H6AMRA18A5FAZ27BTHFEXY60
southland_otago_sn5693_1980_0.75m-2193,01H51JN3QRN58855N0SQAECXPB
southland_otago_sn8542_1985_0.375m-2193,01H51TT3N5PR6TJ6QPZ3AYJNKP
southland_otago_sn8565_1985-1987_0.8m-2193,01H51V2WHA1G0X3CNDHF7HMDZZ
southland_otago_sn8996_1988_0.75m-2193,01H51XZHGGSZ7BV8SC94AZFKBV
southland_otago_sn9613_1997_0.75m-2193,01H521GH4QMYC73P5MQTYNGAHN
southland_otago_snc12731_2002_0.75m-2193,01H522M8WVWBZS8FNJYQZ1NJC1
southland_otago_snc30012_2003_0.75m-2193,01H526S6X99JRF6EJGHA4A5KVW
southland_sn12545a_1998_0.75m-2193,01H5120NHTG8W3NY4SQR3DT1G9
southland_sn8038_1982_0.75m-2193,01H51NF0TP7TD8EC3KZ7RY06QR
southland_sn8317_1984_0.75m-2193,01H51QKVZP2CQZ3N4509A1NFAJ
southland_sn8408_1984_0.375m-2193,01H51R833TB8J9CJWJHZCCZST6
southland_sn8541_1985_0.375m-2193,01H51TP15TVRB450ZMMTDECGMC
southland_sn9066_1990-1991_0.75m-2193,01H51YF2P5PJ5A2CEHK76JPFYY
southland_sn9067_1990_0.75m-2193,01H51YJKD7MVYCYCKMF6C7HGVK
southland_sn9421_1995_0.25m-2193,01H51ZW1J1D1PSMFFM7VKBZGH1
southland_snc30005a_2002_0.75m-2193,01H5262H236E3WRDNNVCFNRARF
southland_snc30005b_2003_0.75m-2193,01H5262BC99N1CXFWMMVV3WK7W
southland_snc30011_2003_0.75m-2193,01H526RTP6JRWR0JSNSJ29TDBS
new-plymouth_2017_0.10m-rgb,01GYB46Y71PJGWT2PQ5RB7M275
taranaki_2011-2012_0.4m-rgb,01GYXKA23PMDJQ0KJF04RXC01J
taranaki_2016-2018_0.3m-rgb,01GYBVY2FRRHTGSHK26JHD922E
taranaki_2021-2022_0.25m-rgb,01GSXVSN48A6KNMQAF96B3BN5Z
taranaki_2022-2023_0.05m-rgb,01H4PT8K8XXDAAP3QDAZG966ET
taranaki_2022-2023_0.1m-rgb,01H4MQ412XPD7XCN9RJQVTP6CM
taranaki_2022_0.05m-rgb,01GSXVEHFHJHWQG9VMCT7CJM41
